DBML,PostgreSQL,MariaDB/MySQL,SQLite
int,INTEGER,INT/TINYINT/INTEGER,INTEGER
bigint,BIGINT,BIGINT,INTEGER
smallint,SMALLINT,SMALLINT,INTEGER
float,REAL,FLOAT,REAL
double,DOUBLE PRECISION,DOUBLE,REAL
decimal,"DECIMAL(p,s)","DECIMAL(p,s)",NUMERIC
varchar(n),VARCHAR(n),VARCHAR(n),TEXT
text,TEXT,TEXT,TEXT
char(n),CHAR(n),CHAR(n),TEXT
date,DATE,DATE,TEXT
time,TIME,TIME,TEXT
datetime,TIMESTAMP,DATETIME,TEXT
timestamp,TIMESTAMP,TIMESTAMP,TEXT
bool,BOOLEAN,BOOLEAN/TINYINT(1),INTEGER
binary,BYTEA,BLOB,BLOB
varbinary(n),BYTEA,VARBINARY(n),BLOB
uuid,UUID,CHAR(36),TEXT
json,JSONB/JSON,JSON,TEXT
jsonb,JSONB,JSON,TEXT
enum,ENUM,ENUM,TEXT
serial,SERIAL,INT AUTO_INCREMENT,INTEGER PRIMARY KEY AUTOINCREMENT
bigserial,BIGSERIAL,BIGINT AUTO_INCREMENT,INTEGER PRIMARY KEY AUTOINCREMENT
